Date,Price,Open,High,Low,Volume,Chg%
"Dec 18, 2020",73.57,73.53,73.588,73.475,2.16K,0.07%
"Dec 17, 2020",73.52,73.6,73.635,73.372,2.82K,-0.15%
"Dec 16, 2020",73.63,73.532,73.66,73.459,2.61K,0.10%
"Dec 15, 2020",73.556,73.674,73.685,73.542,2.32K,-0.10%
"Dec 14, 2020",73.63,73.738,73.738,73.45,2.48K,-0.14%
"Dec 11, 2020",73.736,73.73,73.817,73.535,2.50K,-0.01%
"Dec 10, 2020",73.74,73.73,73.782,73.625,2.50K,0.03%
"Dec 09, 2020",73.72,73.712,73.73,73.515,2.75K,0.00%
"Dec 08, 2020",73.72,73.81,73.846,73.511,4.61K,-0.14%
"Dec 07, 2020",73.826,73.805,73.977,73.69,4.61K,0.09%
"Dec 04, 2020",73.757,73.865,73.865,73.647,4.18K,-0.14%
"Dec 03, 2020",73.86,73.695,73.988,73.67,5.89K,0.14%
"Dec 02, 2020",73.76,73.5,73.836,73.402,5.98K,0.38%
"Dec 01, 2020",73.482,74.025,74.025,73.445,6.80K,-0.69%
"Nov 30, 2020",73.99,73.935,74.025,73.873,3.73K,0.08%
"Nov 27, 2020",73.933,73.837,74.116,73.742,5.44K,0.14%
"Nov 26, 2020",73.832,73.792,73.913,73.72,5.35K,0.09%
"Nov 25, 2020",73.769,73.97,74.017,73.743,5.27K,-0.42%
"Nov 24, 2020",74.078,74.244,74.244,73.869,5.55K,-0.23%
"Nov 23, 2020",74.25,74.12,74.277,74.005,4.88K,0.19%
"Nov 20, 2020",74.11,74.165,74.211,74.056,4.56K,0.01%
"Nov 19, 2020",74.1,74.313,74.349,74.103,5.37K,-0.01%
"Nov 18, 2020",74.11,74.475,74.53,74.058,6.42K,-0.48%
"Nov 17, 2020",74.47,74.345,74.635,74.345,5.77K,0.13%
"Nov 16, 2020",74.37,74.59,74.59,74.38,1.92K,-0.26%
"Nov 13, 2020",74.561,74.662,74.725,74.464,5.53K,-0.16%
"Nov 12, 2020",74.68,74.438,74.76,74.365,6.09K,0.32%
"Nov 11, 2020",74.439,74.17,74.522,74.17,6.19K,0.21%
"Nov 10, 2020",74.28,73.955,74.478,73.948,6.83K,0.34%
"Nov 09, 2020",74.03,73.976,74.175,73.637,6.50K,0.08%
"Nov 06, 2020",73.974,74.03,74.286,73.86,7.50K,0.09%
"Nov 05, 2020",73.91,74.317,74.41,73.914,6.77K,-0.61%
"Nov 04, 2020",74.365,74.598,75.015,74.337,7.36K,-0.33%
"Nov 03, 2020",74.61,74.422,74.635,74.247,4.57K,0.15%
"Nov 02, 2020",74.5,74.567,74.567,74.265,4.32K,-0.07%
"Oct 30, 2020",74.554,74.32,74.712,74.24,2.94K,0.25%
"Oct 29, 2020",74.37,74.23,74.533,73.938,6.74K,0.26%
"Oct 28, 2020",74.18,73.729,74.271,73.647,5.79K,0.76%
"Oct 27, 2020",73.622,73.938,74.021,73.599,4.55K,-0.46%
"Oct 26, 2020",73.96,73.842,74.115,73.692,4.16K,0.18%
"Oct 23, 2020",73.829,73.645,73.887,73.471,2.87K,0.23%
"Oct 22, 2020",73.66,73.68,73.808,73.519,4.65K,0.10%
"Oct 21, 2020",73.59,73.44,73.763,73.357,4.32K,0.20%
"Oct 20, 2020",73.44,73.342,73.558,73.295,4.58K,0.12%
"Oct 19, 2020",73.35,73.444,73.444,73.289,3.20K,-0.13%
"Oct 16, 2020",73.442,73.407,73.451,73.255,4.91K,0.03%
"Oct 15, 2020",73.42,73.295,73.52,73.204,5.15K,0.25%
"Oct 14, 2020",73.24,73.395,73.466,73.193,5.37K,-0.22%
"Oct 13, 2020",73.4,73.351,73.475,73.245,4.09K,0.05%
"Oct 12, 2020",73.363,73.015,73.428,73.015,3.96K,0.48%
"Oct 09, 2020",73.01,73.15,73.265,72.969,4.22K,-0.38%
"Oct 08, 2020",73.29,73.33,73.381,73.185,5.08K,-0.05%
"Oct 07, 2020",73.33,73.55,73.613,73.254,4.81K,-0.14%
"Oct 06, 2020",73.434,73.093,73.518,73.093,3.37K,0.44%
"Oct 05, 2020",73.11,73.295,73.481,73.07,3.39K,-0.25%
"Oct 02, 2020",73.29,73.239,73.45,73.239,0.17K,0.13%
"Oct 01, 2020",73.193,73.595,73.61,73.021,3.98K,-0.50%
"Sep 30, 2020",73.56,73.817,73.865,73.522,3.86K,-0.26%
